Title-module__anchor--GmXUE href	Title-module__anchor--GmXUE	ReposListItem-module__Label_2--Z6b0K	Text__StyledText-sc-1klmep6-0	ReposListItem-module__Text_4--mkG7R	ReposListItem-module__Link_1--v5NDF	ReposListItem-module__Link_1--v5NDF href	ReposListItem-module__Link_1--v5NDF 2	ReposListItem-module__Link_1--v5NDF href 2	ReposListItem-module__Box_6--KXqca 3	ReposListItem-module__Link_1--v5NDF 3	ReposListItem-module__Link_1--v5NDF href 3
https://github.com/JuliaComputing/JuliaHub.jl	JuliaHub.jl	Public	A Julia client for the JuliaHub platform	Julia	10	https://github.com/JuliaComputing/JuliaHub.jl/forks	16	https://github.com/JuliaComputing/JuliaHub.jl/stargazers	•	1	https://github.com/JuliaComputing/JuliaHub.jl/pulls
https://github.com/JuliaComputing/jh	jh	Public	Use JuliaHub from the command line	Go	1	https://github.com/JuliaComputing/jh/forks	2	https://github.com/JuliaComputing/jh/stargazers	•	3	https://github.com/JuliaComputing/jh/pulls
https://github.com/JuliaComputing/Multibody.jl	Multibody.jl	Public	Model and simulate multibody systems in Julia	Julia	4	https://github.com/JuliaComputing/Multibody.jl/forks	44	https://github.com/JuliaComputing/Multibody.jl/stargazers	•	31	https://github.com/JuliaComputing/Multibody.jl/pulls
https://github.com/JuliaComputing/juliaup	juliaup	Public	Julia installer and version multiplexer	Rust	104	https://github.com/JuliaComputing/juliaup/forks	0	https://github.com/JuliaComputing/juliaup/stargazers	•	0	https://github.com/JuliaComputing/juliaup/pulls
https://github.com/JuliaComputing/PlotlyLight.jl	PlotlyLight.jl	Public	Fast Lightweight Plotly.js Wrapper for Julia	Julia	10	https://github.com/JuliaComputing/PlotlyLight.jl/forks	113	https://github.com/JuliaComputing/PlotlyLight.jl/stargazers	•	1	https://github.com/JuliaComputing/PlotlyLight.jl/pulls
https://github.com/JuliaComputing/StateSelection.jl	StateSelection.jl	Public	Common algorithmic core for state selection in MTK, DAECompiler, JuliaSimCompiler	Julia	3	https://github.com/JuliaComputing/StateSelection.jl/forks	6	https://github.com/JuliaComputing/StateSelection.jl/stargazers	•	2	https://github.com/JuliaComputing/StateSelection.jl/pulls
https://github.com/JuliaComputing/OmniPackage.jl	OmniPackage.jl	Public	Big package depending on a lot of open source repos.	Julia	7	https://github.com/JuliaComputing/OmniPackage.jl/forks	16	https://github.com/JuliaComputing/OmniPackage.jl/stargazers	•	84	https://github.com/JuliaComputing/OmniPackage.jl/pulls
https://github.com/JuliaComputing/JuliaForEngineers	JuliaForEngineers	Public		Julia	0	https://github.com/JuliaComputing/JuliaForEngineers/forks	4	https://github.com/JuliaComputing/JuliaForEngineers/stargazers	•	1	https://github.com/JuliaComputing/JuliaForEngineers/pulls
https://github.com/JuliaComputing/DataSets.jl	DataSets.jl	Public		Julia	3	https://github.com/JuliaComputing/DataSets.jl/forks	108	https://github.com/JuliaComputing/DataSets.jl/stargazers	•	0	https://github.com/JuliaComputing/DataSets.jl/pulls
https://github.com/JuliaComputing/ExampleComponents	ExampleComponents	Public	An Example JSML Component Library	JavaScript	1	https://github.com/JuliaComputing/ExampleComponents/forks	2	https://github.com/JuliaComputing/ExampleComponents/stargazers	•	1	https://github.com/JuliaComputing/ExampleComponents/pulls
